Beta,	 T,	 Mu,	 Sigma,	 Energy,	 EnergyError,	SigmaMuAcceptance
320,	0.003125,	0.772339,	0.62541,	-0.440081,	0.000291451,	0.29
330,	0.0030303,	0.796047,	0.626533,	-0.444877,	0.000350016,	0.35
340,	0.00294118,	0.796089,	0.614699,	-0.446636,	0.000275912,	0.29
350,	0.00285714,	0.823797,	0.634629,	-0.446523,	0.000164399,	0.29
360,	0.00277778,	0.831079,	0.637137,	-0.438254,	0.00031514,	0.34
370,	0.0027027,	0.768767,	0.627354,	-0.440168,	0.000367542,	0.33
380,	0.00263158,	0.77269,	0.623818,	-0.444829,	0.000575187,	0.33
390,	0.0025641,	0.79214,	0.627564,	-0.439977,	0.000303245,	0.33
400,	0.0025,	0.772702,	0.621271,	-0.43852,	0.000357579,	0.3
410,	0.00243902,	0.789411,	0.626837,	-0.44316,	0.000347991,	0.12
420,	0.00238095,	0.800357,	0.615378,	-0.443456,	0.00032665,	0.2
430,	0.00232558,	0.813693,	0.591488,	-0.437747,	0.000326873,	0.27
440,	0.00227273,	0.793345,	0.634975,	-0.435576,	0.000322925,	0.22
450,	0.00222222,	0.793822,	0.609611,	-0.443975,	0.00037507,	0.21
460,	0.00217391,	0.804508,	0.608921,	-0.444828,	0.000403827,	0.22
470,	0.00212766,	0.822321,	0.61228,	-0.439681,	0.000241728,	0.25
480,	0.00208333,	0.818957,	0.610986,	-0.441341,	0.000358479,	0.24
490,	0.00204082,	0.812491,	0.610086,	-0.44678,	0.000223589,	0.25
500,	0.002,	0.812882,	0.609891,	-0.441543,	0.000228236,	0.05
510,	0.00196078,	0.816002,	0.61288,	-0.439224,	0.000186551,	0.25
520,	0.00192308,	0.81625,	0.640011,	-0.44077,	0.000279048,	0.14
530,	0.00188679,	0.817845,	0.617375,	-0.442635,	0.000245868,	0.16
540,	0.00185185,	0.790489,	0.593927,	-0.439878,	0.00015223,	0.08
550,	0.00181818,	0.780497,	0.597807,	-0.438652,	0.000275998,	0.24
560,	0.00178571,	0.798317,	0.623191,	-0.444138,	0.000342768,	0.3
570,	0.00175439,	0.805952,	0.60852,	-0.448583,	0.000326913,	0.24
580,	0.00172414,	0.802433,	0.63508,	-0.439496,	0.000287095,	0.06
590,	0.00169492,	0.822013,	0.608778,	-0.43971,	0.000306393,	0.31
600,	0.00166667,	0.783225,	0.599253,	-0.440703,	0.000287788,	0.21
610,	0.00163934,	0.804703,	0.609992,	-0.448897,	0.000318909,	0.17
620,	0.0016129,	0.786733,	0.624431,	-0.445115,	0.000520986,	0.22
630,	0.0015873,	0.795092,	0.604384,	-0.440468,	0.000329399,	0.07
640,	0.0015625,	0.814796,	0.612506,	-0.443911,	0.000243367,	0.16
650,	0.00153846,	0.80861,	0.613759,	-0.444098,	0.000442497,	0.23
660,	0.00151515,	0.798843,	0.634494,	-0.444553,	0.000430304,	0.14
670,	0.00149254,	0.801318,	0.610114,	-0.449581,	0.000156688,	0.13
680,	0.00147059,	0.807242,	0.614664,	-0.446856,	0.0002033,	0.06
690,	0.00144928,	0.796397,	0.61133,	-0.445184,	0.000265318,	0.09
700,	0.00142857,	0.788486,	0.628586,	-0.447079,	0.000262265,	0.17
710,	0.00140845,	0.788486,	0.628586,	-0.440498,	0.000167932,	0
720,	0.00138889,	0.802981,	0.622663,	-0.450032,	0.000425918,	0.15
730,	0.00136986,	0.809294,	0.628865,	-0.437494,	0.000214487,	0.05
740,	0.00135135,	0.803828,	0.603504,	-0.445711,	0.000373626,	0.13
750,	0.00133333,	0.818921,	0.612834,	-0.443201,	0.000277042,	0.11
760,	0.00131579,	0.825923,	0.618402,	-0.444852,	0.000566781,	0.16
770,	0.0012987,	0.799342,	0.610477,	-0.443562,	0.000280337,	0.14
780,	0.00128205,	0.786353,	0.606886,	-0.440678,	0.000211762,	0.05
790,	0.00126582,	0.827046,	0.620491,	-0.442419,	0.000340276,	0.1
800,	0.00125,	0.812661,	0.606902,	-0.438674,	0.000380259,	0.19
810,	0.00123457,	0.794775,	0.636576,	-0.442672,	0.000377736,	0.14
820,	0.00121951,	0.803302,	0.607373,	-0.443794,	0.000195965,	0.11
830,	0.00120482,	0.781666,	0.613098,	-0.447343,	0.000276298,	0.12
840,	0.00119048,	0.794424,	0.615334,	-0.442867,	0.000171972,	0.08
850,	0.00117647,	0.814675,	0.617602,	-0.444059,	0.000571483,	0.19
860,	0.00116279,	0.831125,	0.617186,	-0.439794,	0.00026488,	0.18
870,	0.00114943,	0.803195,	0.639401,	-0.438028,	0.000118317,	0.18
880,	0.00113636,	0.795696,	0.616092,	-0.44654,	0.000242,	0.05
890,	0.0011236,	0.795634,	0.609354,	-0.444041,	0.00020957,	0.13
900,	0.00111111,	0.795634,	0.609354,	-0.443275,	0.000216603,	0
910,	0.0010989,	0.798358,	0.603301,	-0.447947,	0.000131344,	0.18
920,	0.00108696,	0.792718,	0.599559,	-0.442411,	0.000238598,	0.09
930,	0.00107527,	0.786593,	0.594036,	-0.438829,	0.000359336,	0.14
940,	0.00106383,	0.79855,	0.627801,	-0.442794,	0.000212101,	0.11
950,	0.00105263,	0.79855,	0.627801,	-0.440715,	0.00029732,	0
960,	0.00104167,	0.795576,	0.62555,	-0.442809,	0.00024482,	0.07
970,	0.00103093,	0.795576,	0.62555,	-0.43953,	0.000412007,	0
980,	0.00102041,	0.795576,	0.62555,	-0.442573,	0.000201978,	0
990,	0.0010101,	0.781475,	0.61678,	-0.443057,	0.000181774,	0.11
1000,	0.001,	0.777465,	0.609537,	-0.439824,	0.0002308,	0.04
1010,	0.000990099,	0.802063,	0.616385,	-0.445739,	0.000381014,	0.13
1020,	0.000980392,	0.805054,	0.613611,	-0.446571,	0.000329192,	0.1
1030,	0.000970874,	0.797924,	0.613495,	-0.442808,	0.000347036,	0.08
1040,	0.000961538,	0.797924,	0.613495,	-0.441095,	0.000412822,	0
1050,	0.000952381,	0.789322,	0.630163,	-0.448106,	0.000184512,	0.16
1060,	0.000943396,	0.791353,	0.607935,	-0.446623,	0.000305958,	0.09
1070,	0.000934579,	0.791353,	0.607935,	-0.439822,	0.000228012,	0
1080,	0.000925926,	0.796106,	0.61729,	-0.443433,	0.000308433,	0.11
1090,	0.000917431,	0.815862,	0.608535,	-0.444764,	0.000338434,	0.21
1100,	0.000909091,	0.790477,	0.617023,	-0.444364,	0.000240748,	0.12
1110,	0.000900901,	0.784131,	0.630867,	-0.440991,	0.000307742,	0.1
1120,	0.000892857,	0.793409,	0.619901,	-0.443789,	0.000269749,	0.18
1130,	0.000884956,	0.805615,	0.615233,	-0.446107,	0.000289826,	0.13
1140,	0.000877193,	0.805615,	0.615233,	-0.443194,	0.000267852,	0
1150,	0.000869565,	0.797317,	0.619019,	-0.448571,	0.000612047,	0.1
1160,	0.000862069,	0.789303,	0.61113,	-0.443322,	0.000197346,	0.13
1170,	0.000854701,	0.801948,	0.618622,	-0.447572,	0.000287331,	0.12
1180,	0.000847458,	0.801948,	0.618622,	-0.444129,	0.000312823,	0
1190,	0.000840336,	0.801948,	0.618622,	-0.443037,	0.000367696,	0
1200,	0.000833333,	0.801948,	0.618622,	-0.444214,	0.000323191,	0
1210,	0.000826446,	0.801948,	0.618622,	-0.441959,	0.000296809,	0
1220,	0.000819672,	0.801948,	0.618622,	-0.444206,	0.000403613,	0
1230,	0.000813008,	0.798114,	0.62383,	-0.445454,	0.000238121,	0.03
1240,	0.000806452,	0.798114,	0.62383,	-0.439415,	0.000340146,	0
1250,	0.0008,	0.787319,	0.624079,	-0.443385,	0.000285546,	0.11
1260,	0.000793651,	0.80367,	0.615397,	-0.447673,	0.00014872,	0.06
1270,	0.000787402,	0.80367,	0.615397,	-0.449484,	0.00039484,	0
1280,	0.00078125,	0.80367,	0.615397,	-0.443688,	0.000155939,	0
1290,	0.000775194,	0.80367,	0.615397,	-0.444477,	0.000199663,	0
1300,	0.000769231,	0.80367,	0.615397,	-0.444115,	0.000167486,	0
1310,	0.000763359,	0.80367,	0.615397,	-0.445049,	0.000162839,	0
1320,	0.000757576,	0.80367,	0.615397,	-0.446497,	0.000383103,	0
1330,	0.00075188,	0.80367,	0.615397,	-0.445932,	0.000165551,	0
1340,	0.000746269,	0.80367,	0.615397,	-0.444759,	0.000325529,	0
1350,	0.000740741,	0.80367,	0.615397,	-0.441619,	0.000288846,	0
1360,	0.000735294,	0.80367,	0.615397,	-0.445429,	0.000224619,	0
1370,	0.000729927,	0.80367,	0.615397,	-0.448835,	0.000305748,	0
1380,	0.000724638,	0.80367,	0.615397,	-0.444363,	0.000349326,	0
1390,	0.000719424,	0.80367,	0.615397,	-0.442788,	0.000194541,	0
1400,	0.000714286,	0.80367,	0.615397,	-0.447041,	0.000172399,	0
1410,	0.00070922,	0.78427,	0.61223,	-0.445863,	0.00024495,	0.05
1420,	0.000704225,	0.78427,	0.61223,	-0.440347,	0.000596721,	0
1430,	0.000699301,	0.794328,	0.610886,	-0.445297,	0.000314229,	0.04
1440,	0.000694444,	0.809756,	0.613695,	-0.447142,	0.000296704,	0.15
1450,	0.000689655,	0.809756,	0.613695,	-0.448099,	0.000413699,	0
1460,	0.000684932,	0.809756,	0.613695,	-0.446068,	0.000260921,	0
1470,	0.000680272,	0.809756,	0.613695,	-0.447224,	0.000210003,	0
1480,	0.000675676,	0.809756,	0.613695,	-0.446086,	0.000268565,	0
1490,	0.000671141,	0.809756,	0.613695,	-0.443176,	0.000386779,	0
1500,	0.000666667,	0.809756,	0.613695,	-0.445828,	0.000320522,	0
